COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
19;10 Februari 2025;Selamat dan Semangat Hari Senin;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Hari ini adalah kesempatan baru untuk melangkah lebih dekat menuju impianmu, tulislah kisah suksesmu dengan kerja keras dan ketekunan!

#SemangatSenin
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1KL3hABuW1/;;Approve Sesper;
20;12 Februari 2025;Rapat Umum Pemegang Saham (RUPS);Campaign Bersama BUMN;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Dalam rangka pengesahan Rencana Kerja dan Anggaran Perusahaan (RKAP) Tahun 2025, PT ASABRI (Persero) telah menyelenggarakan Rapat Umum Pemegang Saham (RUPS) di Kementerian BUMN.

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1GpP24kGKQ/;;Approve Sesper;
21;12 Februari 2025;Informasi Layanan Kantor Cabang;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sebagai bentuk optimalisasi peningkatan layanan ASABRI kepada Peserta, kini ASABRI hadir di Seluruh Indonesia melalui layanan di 33 Kantor Cabang.
Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#LayananASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/17Ly3P3AmY/;;Approve Sesper;
22;13 Februari 2025;Informasi Kerjasama Rumah Sakit;Berseri;;;Realisasi;Facebook;Video;"Halo #SobatASABRI 

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ?? 
Tahukah kamu Bagaimana cara mengetahui rumah sakit yang telah bekerja sama dengan ASABRI?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya… 
Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang sesuai wilayah masing-masing ya Sobat… 

#BertanyaSeputarASABRI
#SahabatPerjuanganAndaSepanjangMasa 
#ASABRIuntukIndonesia 
#BUMNuntukIndonesia ";https://www.facebook.com/share/r/16h6KjkD2k/;;Approve Sesper;
23;13 Februari 2025;Rapat Kerja Komunikasi Tahun 2025;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) melaksanakan Rapat Kerja Komunikasi Tahun 2025  yang diikuti oleh penanggung jawab Komunikasi di semua level, mulai dari Direksi, Para Pimpinan Unit Kerja, Divisi, dan Kantor Cabang, serta Media Ranger & Creator di seluruh Indonesia. 

ASABRI merumuskan langkah strategis dalam memperkuat fungsi komunikasi Perusahaan, memastikan kolaborasi yang lebih erat, serta mengakselerasi inovasi informasi demi meningkatkan kepercayaan publik sehingga selaras dengan Asta Cita.
Untuk Informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#RapatKerjaKomunikasiASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1H9YsVD3Cv/;;Approve Sesper;
24;17 Februari 2025;Pelayanan;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Ketika pelayanan diberikan dengan tulus, kepercayaan akan tumbuh. Disitulah 
Kami hadir untuk negeri, melayani bangsa sepenuh hati, demi kesejahteraan dan kemajuan bersama.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1BbYWKF87b/;;Approve Sesper;
25;19 Februari 2025;Kepuasan Pelanggan;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) mencatat pertumbuhan yang terus meningkat untuk Tingkat Kepuasan Pelanggan. Keberhasilan ini tidak lepas dari berbagai inisiatif strategis yang berkualitas, inovatif, dan berdampak langsung bagi Peserta. 

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.

#LayananASABRIuntukIndonesia
#InsanASABRIBanggaMelayaniNegeri
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/17EVDWegx2/;;Approve Sesper;
26;20 Februari 2025;Perlindungan Tanpa Batas Untuk Patriot Bangsa;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

ASABRI sebagai pengelola Asuransi Sosial yang diamanahkan Negara, hadir dengan komitmen penuh untuk memberikan perlindungan terbaik melalui berbagai layanan dan manfaat, salah satunya adalah Jaminan Kecelakaan Kerja (JKK).

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.

#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia
";https://www.facebook.com/asabriofficial/posts/pfbid0LTohq6B5Kj4veNiGxnnPotrJPtdUcN6FFYiPZ5TZ9VW6xA9vUhNhynMpopVRpbqCl;;Approve Sesper;
27;21 Februari 2025;Penyerahan manfaat Pensiun Pertama dan Tabungan Hari Tua (THT);Cerita;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) menyerahkan manfaat Pensiun Pertama dan Tabungan Hari Tua (THT) kepada Menteri Imigrasi dan Pemasyarakatan Indonesia, Kabinet Merah Putih, Jenderal Polisi (Purn.) Drs. Agus Andrianto, S.H., M.H., yang telah memasuki masa purnabakti sebagai Anggota Polisi Republik Indonesia. 

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.

#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1A6fLeqYZS/;;Approve Sesper;
28;24 Februari 2025;"Selamat dan Semangat Hari Senin
";Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Jangan menunggu kesempurnaan untuk memulai, karena setiap langkah kecil akan membawa Perubahan.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1ZtfYo263Y/;;Approve Sesper;
